osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/746020116,Barton,E_BTNHL-1,BTNHL-1,E,auto,
way/798860237,Little White Alice,T_LBAR-1,LBAR-1,T,auto,
way/798860237,Little White Alice,T_LBAR-1G,LBAR-1G,T,auto,
way/798860237,Little White Alice,E_LITRB-1,LITRB-1,E,auto,
way/944261153,Barton Hill STOR,E_BTNHL-1,BTNHL-1,E,auto,
way/947716071,Exeter City Council Solar Farm,E_EXETR-2,EXETR-2,E,auto,
way/951794677,Dowlais STOR West,E_DOWL-1,DOWL-1,E,auto,
way/951794678,Dowlais STOR East,E_DOWL-1,DOWL-1,E,auto,
way/951797053,Hirwaun,V__KHABI007,HIRWB-1,V,auto,
way/956255091,Great Hele Farm Anaerobic Digestion Plant,E_GYAR-1,GYAR-1,E,auto,
way/956255098,North Tamar Environ Project - Holsworthy,V__GWELS001,AG-WSP04G,V,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PSTAT001,CAIRW-2,S,auto,
way/956255098,North Tamar Environ Project - Holsworthy,T_CLDNW-1,CLDNW-1,T,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PSTAT002,MDHLW-1,S,auto,
way/956255098,North Tamar Environ Project - Holsworthy,T_NOKYW-1,NOKYW-1,T,auto,
way/956255098,North Tamar Environ Project - Holsworthy,T_NOKYW-2,NOKYW-2,T,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PIMPO000,NSC-ATL01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PEDFE000,NSC-EDF01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PHYDE000,NSC-SSE01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PSOUT000,NSC-STH01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__PSWAE000,NSC-SWA01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,E_NTAWB-1,NTAWB-1,E,auto,
way/956255098,North Tamar Environ Project - Holsworthy,2__GEDFE000,NWP-EDF01,G,auto,
way/956255098,North Tamar Environ Project - Holsworthy,T_STRNW-1,STRNW-1,T,auto,
way/956271019,Nant y Caws Landfill Gas Plant,T_NANT-1,NANT-1,T,auto,
way/1038227745,Port Talbot STOR,E_POTES-1,POTES-1,E,auto,
way/1353839293,Aberdare Power Station,E_ABERDARE,ABERU-1,E,auto,
way/1476526758,Torquay BESS,E_TORQB-1,TORQB-1,E,auto,
way/1484583344,Indian Queens BESS,T_INDQB-1,INDQB-1,T,auto,
way/1512627537,North Tawton BESS,E_NTAWB-1,NTAWB-1,E,auto,
relation/8829625,Walney Wind Farm,T_WLNYO-2,WLNYO-2,T,auto,
relation/8829625,Walney Wind Farm,T_WLNYO-3,WLNYO-3,T,auto,
relation/8829625,Walney Wind Farm,T_WLNYO-4,WLNYO-4,T,auto,
relation/8829625,Walney Wind Farm,T_WLNYW-1,WLNYW-1,T,auto,
relation/20197306,Walney 1 & 2,T_WLNYW-1,WLNYW-1,T,auto,
way/136369186,North Hoyle Offshore Wind Farm,V__GWELS001,AG-WSP04G,V,auto,
