osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/616340682,Wind Farm,T_NOKYW-2,NOKYW-2,T,manual,Candidate match: bmUnitName=North Kyle Wind Farm-2; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616340682,Wind Farm,T_STRNW-1,STRNW-1,T,manual,Candidate match: bmUnitName=Strathy North Wind Farm 1; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBAWO-1,DBAWO-1,T,manual,Candidate match: bmUnitName=Dogger Bank A Offshore WF 1; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBAWO-2,DBAWO-2,T,manual,Candidate match: bmUnitName=Dogger Bank A Offshore WF 2; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBAWO-3,DBAWO-3,T,manual,Candidate match: bmUnitName=Dogger Bank A Offshore WF 3; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBAWO-4,DBAWO-4,T,manual,Candidate match: bmUnitName=Dogger Bank A Offshore WF 4; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBAWO-5,DBAWO-5,T,manual,Candidate match: bmUnitName=Dogger Bank A Offshore WF 5; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBBWO-1,DBBWO-1,T,manual,Candidate match: bmUnitName=Dogger Bank B Offshore WF 1; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBBWO-2,DBBWO-2,T,manual,Candidate match: bmUnitName=Dogger Bank B Offshore WF 2; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
way/616339818,Wind Farm,T_DBBWO-3,DBBWO-3,T,manual,Candidate match: bmUnitName=Dogger Bank B Offshore WF 3; fuelType=WIND; confidence=medium; reason=site_name_contains_bmUnitName; fuel_compatible=True
