osm_id,name,operator,capacity_mw,source_bucket,latitude,longitude
way/1421373804,Cathkin BESS,Engie,50.0,other,55.7862036,-4.195532899516367
way/1476449909,Catsbrain Farm BESS,Conrad Energy,30.0,other,51.60079275,-1.7486025757388834
way/956244588,Cattlegate Farm Anerobic Digestion Plant,Willen Biogas & Xergi,1.5,biomass,51.6960506,-0.11099080696527397
relation/9458181,Causilgey Solar Farm,,4.4,solar,50.2872863,-5.112300763985896
relation/20728895,Cawarden Solar Farm,Spring CHE,49.9,solar,52.76341355,-1.9170273509710178
way/562893654,Ceannacroc Power Station,Scottish & Southern Energy,20.0,hydro,57.15445455,-4.939027312141209
way/374098131,Cefn Betingau,Wessex Solar Energy,9.0,solar,51.69605665,-3.9358245807288967
way/736625428,Cefn Mawr Emergency Standby Generation Facility,,20.0,gas,52.9865102,-3.0570733298160953
way/167003752,Chadderton BESS,Field Energy,20.0,other,53.53115935,-2.166025947852104
way/1419351025,Chadderton Generation,,20.0,gas,53.52859045,-2.164902439775838
way/681983894,Chalcroft Solar Farm,,6.3,solar,50.949644,-1.3065660194997024
way/693736109,Chamabhreac,,0.1,hydro,56.78312975,-4.739526910226694
way/956288190,Chamber 16 (Cold Store),Pinguin Foods UK,1.2,solar,52.7395725,0.4208802931704382
way/687676053,Chancery Farm,BlackRock,11.9,solar,51.90898345,0.9974820492889299
way/746155611,Chard Solar Park,Conergy,3.0,solar,50.88627725,-2.945349605186274
way/708338050,Charity Farm Solar Farm,,11.9,solar,52.82224215,-2.8108327103123454
way/759190405,Charlesfield Biomass CHP Plant,Charlesfield First LLP & Biogas Power,10.0,biomass,55.5604053,-2.6529534956900305
way/1510918424,Charnock Richard Battery Storage,Pulse Clean Energy,30.0,other,53.6160123,-2.692103437981146
way/675024104,Chawton Farm Solar Farm,BRNG Renewables,3.2,solar,50.73701535,-1.2977984214814782
way/687677933,Chediston Hall Solar Power Station,Lightsource Renewable Energy,12.3,solar,52.35256175,1.4730323332467266
way/944225468,Chelson Meadow Landfill Gas Plant,Combined Landfill Projects (CLP),1.4,biomass,50.37380705,-4.100813838820573
way/593058156,Chelwood Solar Farm,Chelwood Community Energy,5.0,solar,51.34888905,-2.5165635482371442
way/746246316,Chelworth Industrial Estate Solar Park,Bath & West Community Energy Ltd,1.0,solar,51.6276731,-1.8880685475176393
way/729189514,Cherry Tree Farm,Trina Solar,5.0,solar,53.23971285,-1.356695436626983
way/673809792,Chester Energy (East Woolley Farm),,5.0,solar,50.91998635,-4.47236104995136
way/550716638,Chilton Cantelo Solar Farm,NextEnery Solar Fund (NESF),5.0,solar,50.9941783,-2.6010231776452195
way/916300400,Chilton Energy Plant,Dalkia,18.0,biomass,54.6680673,-1.5654608387309141
relation/18906943,Chineham Energy Recovery Facility,Veolia,8.0,biomass,51.2917926,-1.0372497131950786
way/314886516,Chisbon Solar Farm,ESCO NRG,13.0,solar,51.82706185,1.0923144576743113
way/257772998,Chittering Solar Farm,Abbey Renewables,11.3,solar,52.313518,0.22140806102409463
way/978672528,Chliostair Power Station,SSE,1.1,hydro,57.97399265,-6.974730861182335
way/956323028,Chonais Hydro,Green Highland Renewables,2.0,hydro,57.49084695000001,-5.2589470036730726
way/1041302256,Chreagaich,,0.1,hydro,56.78867835,-4.598259039522931
way/684269249,Church Farm,Push Energy/NextEnergy Solar Fund (NESF),16.5,solar,52.13421905,-0.08325423909572921
way/725463867,Church Farm,Lightsource Renewable Energy,6.2,solar,51.87016835,-0.634131168420173
way/1122930955,Cirencester Solar Farm,Rock Fire Energy,23.0,solar,51.7112661,-1.9249834729263537
way/646298325,Citigen Charterhouse Street CHP,E.ON,,gas,51.51919175,-0.10423526954767375
way/621815776,Clann Solar Farm,Lightsource BP,1.4,solar,50.4399281,-4.776074693596467
way/723603985,Clapham solar farm,SBC Renewables,7.5,solar,52.1755592,-0.48592268906601144
way/725697661,Clapton Farm Solar Park,British Solar Renewables,5.0,solar,51.05732145,-2.347282740295735
way/956025739,Claredown Farm Battery Storage,Zenobe (formerly Energy Reservoir 15),20.0,other,52.07053575,0.6081015692922878
way/310685599,Clawdd Ddu Solar Farm,,13.5,solar,51.76399805,-4.035570391734472
way/1371215613,Clay Hill Solar Farm,EEC Power Systems Ltd,0.3,solar,52.0053595,0.7122952751943596
way/1176283907,Clay Tye BESS,Fotowatio Renewable Ventures and Harmony Energy,99.0,other,51.55242985,0.2978011096646379
relation/20278029,Clayhill Farm,Gridserve,10.0,solar,51.98957455,-0.47673044345212945
relation/20278030,Clayhill Farm Battery Storage,,6.0,other,51.987585,-0.4805674
way/723603988,Claypit Moor Solar Farm (Lexham),Lightsource Renewable Energy,7.9,solar,52.7455282,0.7758767120278627
way/746187953,Clearwell Farm - solar,Heritage Energy,2.0,solar,51.563278,-3.08707573152609
way/828552931,Cleator Battery Storage,Low Carbon Storage Investment Company/ VLC,10.0,other,54.502805,-3.529524294161767
way/746020115,Cleave Farm Solar Park,Lightsource Renewable Energy,4.7,solar,51.0037063,-4.139875931477415
way/1483412359,Clifton Farm,Voltalia UK,35.0,solar,50.90921485,-2.5972500189931464
way/956548281,Clifton Marsh Energy,SITA UK / Natural Power,3.3,biomass,53.7524936,-2.8045809926200382
way/895243457,Clifton Marsh Wastewater Treatment Works,United Utilities,1.3,solar,53.7513195,-2.8257566583619256
way/804607244,Clifton Marsh Wastewater Treatment Works,,3.2,solar,53.74997385,-2.8317851727258674
way/938353593,Clyne Power,Clyne Power Limited,16.0,gas,51.7866893,-3.22281595
way/682850489,Cobbs Cross,,5.0,solar,51.11321325,-3.037873386621935
way/800673328,Cockett Valley,,4.0,solar,51.6360813,-4.013715003333874
way/682783416,Cockhill Solar Farm,,20.0,solar,51.33104405,-2.2215294888245745
way/222708564,Codford Biogas,,1.5,gas,51.17219785,-2.0150637315448408
way/104799107,Colchester Sewage Treatment Works,Anglian Water,1.2,biomass,51.8731805,0.9340552496482235
way/729739563,Cold Harbour Farm,Lightsource Renewable Energy,5.0,solar,54.16928125,-1.3160976181896495
way/746026628,Collacott Farm,,4.5,solar,51.0511879,-4.129246001574992
way/956241643,Colnbrook Landfill Gas Plant,Biffa,1.9,biomass,51.49007905,-0.5310760449465742
way/443953029,Colpmans Farm,Greencoat Capital,5.0,solar,52.4037288,-0.5646137636271586
way/956611831,Colwick Industrial Estate Anaerobic Digestion Plant,Bio Dynamic,2.0,biomass,52.95212225,-1.0571447528046447
way/685748658,Combermere Abbey Solar Farm,,14.0,solar,53.0007889,-2.5971301631311143
way/714071820,Common Farm,Public Power Solutions / Swindon Borough Council,4.8,solar,51.53613755,-1.8015085825481552
way/714078457,Condover (Green Farm),,10.2,solar,52.6571163,-2.729089147016434
relation/7886592,Condover Airfield,,12.3,solar,52.63483885,-2.7228390563995015
way/723603979,Congresbury Solar Farm,FIM Solar Distribution,7.1,solar,51.3491971,-2.825309774727386
way/26427510,Connahs Quay Power Station,Uniper,1380.0,gas,53.2327995,-3.0831460831608393
way/923129502,Connon Bridge Landfill Gas Project,Combined Landfill Projects (CLP Envirogas),5.2,biomass,50.43327805,-4.5664698407887085
relation/7873289,Coombe Solar Farm,,8.0,solar,50.65798075,-3.3917216391122285
way/315825797,Coombeshead Solar Farm,AEE Renewables,8.0,solar,50.38867275,-3.7543567594607996
way/730032442,Cooper House Farm,Suncredit UK/ Vogt solar,5.0,solar,53.7675433,-2.8813689638086197
way/679116880,Copley Farm Solar Power Station,,30.0,solar,53.02270065,-0.7250158735309903
way/1451092444,Cordon Solar Farm,,,solar,56.3470248,-3.326188984625358
way/1414702183,Corlacky Hill Wind Farm,Renewable Energy Systems,47.0,wind,54.91189015,-6.739079003799928
way/1001921827,Cornavarrow Wind Farm,Energia,38.4,wind,54.5826367,-7.439928362576127
way/797496006,Corntown Farm,,3.4,solar,51.4796334,-3.5316661123322612
way/888004739,Cornwall Energy Recovery Centre,SUEZ,20.0,biomass,50.37776405,-4.891444091292268
relation/20708314,Cornwell Solar Farm,,49.9,solar,51.7003813,-1.0309164819070862
way/956288196,Costessey Landfill Gas Project 2,Combined Landfill Projects (CLP),2.0,biomass,52.6508646,1.1935854681344018
way/841621478,Cotesbach Landfill Gas Project,Lafarge Redlands Aggregates Ltd,2.3,biomass,52.4227333,-1.211352227361543
way/402566315,Cottam Development Centre,E.ON,445.0,gas,53.3065261,-0.7861630039584105
way/1346001570,Cotton Wind Farm,,,wind,52.2608011,-0.19329503106778384
way/860353612,Coursers Farm Anaerobic Digestion Plant,Severn Trent (formerly Agrivert),3.0,biomass,51.72685465,-0.25934241053870516
way/555316981,Court Coleman solar farm,,15.0,solar,51.52280835000001,-3.6193873424100262
way/718494058,Court Farm,BE Renewables,8.5,solar,51.60651665,-2.8798188587742057
way/808367950,Court Lodge Farm Anaerobic Digestion Plant,Oncoland Energy Ltd,,biomass,51.3903049,0.25908537463345915
way/405995239,Cowdown Lane Solar Farm,,40.0,solar,51.1961232,-1.4601820885524526
way/113555597,Cowie Board Factory,Norbord,15.0,biomass,56.07635195,-3.8671289973803784
way/1479938778,Cowlyd Lower Hydroelectric generator,Dŵr Cymru - Welsh Water,0.2,hydro,53.17665315,-3.8459909551291793
way/824126260,Cowlyd Upper Hydroelectric generator,Dŵr Cymru - Welsh Water,0.2,hydro,53.1700885,-3.8609285084136777
way/1149198459,Cowstead Battery Storage,,50.0,other,51.40879005,0.7680182300386149
way/463273463,Cramlington Biomass CHP Plant,Estover Energy Ltd,27.7,biomass,55.0981912,-1.6203797895898138
way/704333982,Cranfield Airfield,,1.0,solar,52.06865805,-0.6134920275651006
way/474494452,Cranham Golf Course Solar Park,Cranham Golf Course,2.6,solar,51.557515,0.28836988719631174
way/290068926,Crannaford Solar Farm,MS Power Projects Ltd.,12.5,solar,50.76009505,-3.4016817624871374
way/798910691,Crapnell Farm,,5.4,solar,51.2088293,-2.58325080917548
relation/20354095,Crays Hall Solar Farm,,25.6,solar,51.61012945,0.4589498015883021
relation/9539171,Craysmarsh Solar Farm,Lightsource BP,1.8,solar,51.3642893,-2.0936669474275025
way/895224193,Creacombe Solar Farm,Gnaton Farm,7.3,solar,50.33309705,-3.9762567373670175
way/746212395,Creathorne Farm  - Solar Farm,Good Energy Generation,1.8,solar,50.7953261,-4.544408043382482
way/745132283,Cressing Solar Farm (Phase 1),Octopus Investments,5.0,solar,51.83849685,0.6011736906080718
relation/10099446,Creswell Solar Park,Sovereign Energy Partners,5.0,solar,53.2506502,-1.2118198408571899
way/1149201592,Creyke Beck Battery Storage,Statera Energy,49.9,other,53.79742155,-0.4191283419082878
way/1149201591,Creyke Beck Power,Statera Energy,50.0,gas,53.79755465,-0.41785770822473217
way/1514710552,Crick Road Solar Farm,Lightrock Power / Bluefield Solar Income Fund,49.9,solar,52.3647269,-1.137951078852796
way/1293845946,Crifton Solar Farm,Goldbeck Solar,,solar,53.1230344,-1.0475828754290801
way/1280208407,Crifton Solar Farm (South),Goldbeck Solar,,solar,53.11976415,-1.04587488752089
way/706302417,Crighshane Wind Farm,Energia,32.0,wind,54.6417506,-7.793539156201839
way/1509536389,Crimscote Solar Farm,Regener8 Power,45.0,solar,52.12277195,-1.6763710793853468
relation/9566527,Crinacott Solar Farm,,6.7,solar,50.7904592,-4.404508494796302
way/449973224,Crockagarran Wind Farm,ESB Generation and Wholesale Markets,17.5,wind,54.55279455,-7.018160895464852
way/688883410,Crockers Hele,,1.3,solar,50.8443975,-4.09127331934968
way/681692998,Crookedstone Road,Lightsource BP,4.8,solar,54.6706724,-6.199018461239262
relation/18328017,Croome Airfield Solar Farm,Croome Airfield Solar,49.9,solar,52.10179855,-2.141099874504005
way/1122785112,Crossness Sewage Works PV,Thames Water Utilities,1.5,solar,51.5078683,0.13796055934796453
relation/11895883,Crossways Solar Farm,British Solar Renewables Ltd,4.95,solar,50.6948091,-2.318105112454596
way/256209291,Crouch Solar Farm,Low Carbon Storage,23.0,solar,51.58642795,0.3779290240438903
way/425431811,Crow Solar Farm,,4.7,solar,53.10776985,-1.2966741173423406
way/956285099,Crowmarsh Battle Farm Anaerobic Digestion Plant,Severn Trent (formerly Agrivert),2.3,biomass,51.6105492,-1.1031426593671667
way/725676998,Crown Farm,Suncredit UK (Sunventures 7),6.0,solar,52.6679312,-1.3641949050695295
way/449382367,Cruachan Power Station,Drax,440.0,hydro,56.3937909,-5.113640040605065
relation/9539912,Crucis Park,Solar Planning Limited,12.5,solar,51.7263752,-1.9187940243438741
relation/10048420,Crugmore Farm,John Laing Environmental Assets,6.4,solar,52.0924968,-4.623035930166052
way/846563603,Crumlin STOR,Plutus Powergen,20.0,gas,51.67416485,-3.159054845708074
relation/7879998,Crundale/Fenton Home Farm Extension,,5.9,solar,51.8243932,-4.923828558642881
way/201007847,Cuaich Power Station,SSE,2.5,hydro,56.95286885,-4.181784528548368
way/551258375,Cuckoo Grove Solar Farm,,6.1,solar,51.8088192,-5.010842462538638
way/938157357,Cuckoo Road,Mercia Power Response,8e-06,gas,52.50490235,-1.860365914539741
way/567002529,Cuileig Hydro Scheme,Scottish Hydro-Electric plc,3.3,hydro,57.7636811,-5.040181204202822
way/1483661713,Cullerlie Solar Farm,Elgin Energy,13.0,solar,57.11464895,-2.3704125727560434
way/563030728,Culligran Power Station,Scottish & Southern Energy,19.1,hydro,57.42561825,-4.7043197
relation/7873224,Culmhead Solar Farm,Ingenious Renewable Enterprises Energy Ltd.,7.5,solar,50.9255959,-3.1277588160814105
way/746155617,Culworth House Solar Farm,Private Developer,3.0,solar,52.1050969,-1.206441572601673
way/1097516657,Cumhachd Shlèite,Sleat Hydro Community Benefit Society,0.034,hydro,57.05033715,-5.924691311282085
way/1062971116,Cumhachd Shlèite community hydro scheme,,0.034,hydro,57.05078195,-5.932372844815312
way/1364017483,Cuxton Battery Storage,,49.5,other,51.37682625,0.46552006706870874
way/799764431,Cwm Derwyn Farm,,5.0,solar,51.4125931,-3.323883166376997
way/717789530,Cwmcaesingrug Farm,Kronos Solar,10.0,solar,51.6211864,-3.167477874986518
way/601402640,Cwrt Henllys Farm,Lightsource Renewable Energy,5.0,solar,51.62158095,-3.0802618703487576
way/656296883,Cynon Power,Cynon Power Limited,16.0,gas,51.6972426,-3.4171123740516336
relation/17657963,DTTC Lyneham Solar Farm,Defence Infrastructure Organisation,69.5,solar,51.50557395,-2.0114962494047353
way/676222604,Dagenham Docks Biogas,ReFood UK,1.4,biomass,51.52398515,0.13627496542377765
way/130861299,Dalchonzie Power Station,Scottish and Southern Electric,4.0,hydro,56.3732545,-4.04085635
way/1353838798,Darren Farm Solar Park,SRE (Darran),2.6,solar,51.698191,-3.170094479786178
way/796498485,Dayfields Farm,,4.7,solar,53.02623865,-1.6583774113507783
way/956012450,Dean Group Business Park AD Plant,BioConstruct,5.1,biomass,54.64768295,-1.205212296769999
way/729739572,Decoy Farm,Push Energy/ NextEnergy Solar Fund (NESF),5.0,solar,52.69555155,-0.13844662159982918
way/503582660,Decoy Solar Farm,MS Power Projects Ltd,6.0,solar,50.8292176,-0.6920435283436717
way/956255093,Deep Moor Gas to Energy,DEVON WASTE MANAGEMENT LTD,2.0,biomass,50.96919,-4.1068791
way/738308245,Deepdale Farm,Deepdale Farm Solar Ltd,8.0,solar,53.0296211,-0.39547807716290617
way/47922002,Deephams Sewage Treatment Works,Thames Water,3.0,biomass,51.62452715000001,-0.03884803828419882
way/641543893,Derriford Hospital Biomass Plant,Plymouth Hospital NHS Trust,1.5,biomass,50.4163858,-4.111937974688944
way/1192963443,Derril Water Solar Farm,Renewable Energy System Limited / Ripple Energy,42.0,solar,50.79063125,-4.414398228459669
way/724617838,Derriton Fields Solar Farm,,11.8,solar,50.80224795,-4.369963553762194
way/728893770,Desford Solar Farm,Trina Solar,5.0,solar,52.6402292,-1.2655453178541776
way/955988920,Diageo Biomass Energy Project,Diageo,5.5,biomass,56.18956465,-3.055924703928307
way/956264051,Dimmer Landfill Gas Scheme,NOVERA,2.3,biomass,51.0759191,-2.5534389555875485
way/467791543,Dinas Power Station,Statkraft,13.0,hydro,52.43110095,-3.8449796740144215
way/903810114,Discovery Park,Burmeister & Wain Scandinavian Contractor (BWSC),16.0,biomass,51.2908332,1.347747641465522
